income,expenses,savings,debt,transaction_count,food_expense,shopping_expense,entertainment_expense,risk_level
146958,80426,66532,66893,76,14440,10513,12097,Medium
171867,112834,59033,0,70,26586,15345,11156,Low
156932,107924,49008,0,69,20412,20151,14692,Low
128694,84255,44439,40851,80,13107,22022,7908,Medium
144879,85315,59564,49978,33,26533,13546,9413,Medium
135268,41869,93399,0,72,6443,6313,6895,Low
79886,54449,25437,132,95,17213,12196,4714,Low
162337,66475,95862,33858,70,11887,13768,11688,Low
193266,138702,54564,80132,32,47843,15540,14755,Medium
112498,89275,23223,64998,39,24173,10382,11590,High
137727,86119,51608,19188,69,25577,19687,16474,Low
151324,98744,52580,66204,27,16993,19060,15027,Medium
41023,37678,3345,23447,65,12148,11084,5532,High
66090,56220,9870,23508,62,17868,13251,8811,Medium
92221,82468,9753,0,16,23140,8412,15480,Medium
89820,74456,15364,0,78,18647,14608,6498,Medium
25769,9555,16214,0,81,2812,1747,1356,Low
84735,33626,51109,63019,88,5083,4080,3700,Medium
89925,57759,32166,8964,61,15507,16440,2990,Low
30311,13941,16370,15821,13,4453,3638,959,High
128355,78277,50078,5413,43,17328,11429,7729,Low
110305,61366,48939,39371,78,10533,9278,8269,Medium
184765,121412,63353,0,42,28431,12918,22123,Low
155608,122225,33383,37091,78,36107,19475,20615,Medium
181730,139036,42694,66160,47,23839,30160,18491,Medium
109478,69934,39544,14324,35,13372,12879,4271,Low
147537,123127,24410,35895,10,22102,36181,11436,Medium
174503,101222,73281,86707,13,31317,11257,10628,Medium
155523,137305,18218,37549,48,22322,29971,19669,Medium
27747,9609,18138,19972,63,2760,2610,574,High
148855,137025,11830,74833,99,30596,26877,17748,High
90725,65825,24900,31837,42,19823,6621,12192,Medium
154981,84782,70199,0,42,29069,12595,13210,Low
109654,46948,62706,43821,81,8117,7734,7960,Medium
191845,117307,74538,0,29,24971,34394,17860,Low
144346,61558,82788,30665,25,19207,17381,4985,Low
92435,37724,54711,0,30,7666,10933,2511,Low
81886,57424,24462,16495,54,11084,15226,10016,Medium
91803,58754,33049,60497,99,18511,10007,9067,High
56551,41596,14955,3857,96,14451,11695,5667,Low
141216,127693,13523,0,91,33375,37840,10010,High
36394,23509,12885,0,71,4833,3996,3303,High
94092,63757,30335,0,40,14645,9698,3487,Low
28890,10350,18540,0,51,1904,2167,701,Low
66606,51051,15555,0,21,15436,7015,4940,Medium
112313,62888,49425,89764,74,19161,6699,7330,High
166699,155842,10857,0,82,50652,45064,10610,High
33792,28218,5574,0,12,4382,8046,1918,Medium
199073,127329,71744,93171,99,33410,16875,20230,Medium
179969,68405,111564,70337,18,13191,12418,9265,Medium
93148,79978,13170,39062,60,17449,21290,10402,Medium
149243,122358,26885,79628,25,37562,28411,14421,High
145174,60970,84204,31025,97,11487,10911,11979,Low
179555,88328,91227,0,87,24525,21979,5076,Low
149358,121833,27525,52056,12,34224,34041,9392,Medium
73555,30922,42633,7595,33,10538,8819,4549,Low
42159,37797,4362,0,82,11529,6643,2662,Medium
135510,78046,57464,69717,22,24251,10513,10802,High
131530,46900,84630,0,11,12021,13252,6339,Low
105077,87238,17839,0,80,16344,10338,17068,Medium
60920,33066,27854,10715,30,7774,8079,6034,Low
44457,28551,15906,15820,28,7420,3657,5477,Medium
103953,38774,65179,74797,98,11077,6897,2599,High
77995,23529,54466,0,56,6389,4289,4240,Low
196829,140671,56158,60890,31,32184,18533,9757,Medium
34692,22024,12668,22789,84,4472,6266,3192,High
62065,42564,19501,48137,42,7816,4279,6725,High
124299,101419,22880,45138,41,29286,28271,7517,Medium
188678,135903,52775,0,73,37927,37613,19692,Low
36534,15110,21424,0,94,4343,2468,874,Low
65397,34954,30443,48778,48,7847,8418,3285,High
116387,103448,12939,79907,93,20946,15575,19466,High
26016,20824,5192,3550,81,6287,5242,1577,Medium
80591,53336,27255,28158,51,16253,11319,3188,Medium
48247,22491,25756,17909,18,5423,3599,2621,Medium
49300,24469,24831,0,34,6664,4405,4345,Low
107798,83626,24172,51992,98,18791,19901,5143,Medium
34268,29239,5029,0,11,8490,8222,3021,Medium
111807,82337,29470,89284,28,26112,10386,15229,High
37185,30722,6463,2229,29,8837,6582,2080,Medium
195171,155810,39361,34820,79,39344,23487,15051,Medium
164643,65413,99230,53725,26,15812,17025,10908,Medium
63044,36285,26759,0,98,10104,4138,4770,Low
76214,30442,45772,0,77,8705,7238,5322,Low
139752,63294,76458,0,93,16566,8544,4224,Low
73984,63997,9987,40303,12,17598,14033,12036,High
65774,39949,25825,46269,96,6764,10671,7599,Medium
27568,17863,9705,11340,60,6079,4483,1309,Medium
145151,60381,84770,0,91,18606,15130,3325,Low
158767,79856,78911,32400,35,17950,16256,15849,Low
149375,67167,82208,91761,65,17635,18682,8217,High
161330,70020,91310,97029,73,11165,15237,9509,High
64504,46099,18405,30361,17,7294,13069,6563,Medium
189231,88366,100865,32194,90,17687,18495,14885,Low
38986,27711,11275,3025,46,7979,5575,4760,Low
86858,29357,57501,0,36,9406,4241,2321,Low
154312,60513,93799,73168,54,15844,12644,5173,Medium
37666,18021,19645,0,13,4621,2308,3271,Low
63660,43803,19857,43713,95,10094,11999,7574,High
159633,118016,41617,59207,99,21516,27754,16834,Medium
51854,30478,21376,32534,97,5293,9104,6071,High
89505,52786,36719,67800,46,15948,6250,8460,High
129488,99826,29662,28504,80,33491,14787,8223,Medium
47662,14788,32874,15174,42,3573,4073,2617,Medium
33392,17420,15972,24883,40,4910,3119,1954,High
55535,46213,9322,15026,64,15383,8931,2561,Medium
138569,95902,42667,101307,21,16113,26097,9418,High
77256,40111,37145,60633,20,12197,8197,6599,High
114135,101419,12716,60428,97,27724,14066,19678,High
152478,122318,30160,99646,81,32992,34054,11182,High
60222,28435,31787,36111,41,5928,3020,2473,High
102373,73651,28722,57290,66,21121,20554,9909,High
148684,102181,46503,0,47,31569,11250,17549,Low
35965,20168,15797,0,69,3480,4702,3266,Low
49538,26677,22861,13595,95,6848,3050,3574,Medium
133066,69635,63431,0,28,11855,16798,10076,Low
138252,96935,41317,11339,93,31456,10352,8366,Low
164182,96467,67715,1565,65,24264,25900,11082,Low
